h,DT
321,29.73223739
322,30.17813769
323,29.13787102
324,26.56676514
325,24.05278494
326,14.13134265
327,14.42077135
328,27.1820659
329,41.4652234
330,54.87927372
331,60.32528116
332,55.22065469
333,33.9450002
334,32.35796193
335,30.49564569
336,25.45748078
337,18.00257248
338,18.74005917
339,16.53250268
340,15.64616806
341,13.09000743
342,12.75414798
343,12.56743773
344,26.23145305
345,29.73223739
346,30.17813769
347,29.13787102
348,26.56676514
349,24.05278494
350,14.13134265
351,14.42077135
352,27.1820659
353,41.4652234
354,54.87927372
355,60.32528116
356,55.22065469
357,33.9450002
358,32.35796193
359,30.49564569
360,25.45748078
361,18.00257248
362,18.74005917
363,16.53250268
364,15.64616806
365,13.09000743
366,12.75414798
367,12.56743773
368,26.23145305
369,29.73223739
370,30.17813769
371,29.13787102
372,26.56676514
373,24.05278494
374,14.13134265
375,14.42077135
376,27.1820659
377,41.4652234
378,54.87927372
379,60.32528116
380,55.22065469
381,33.9450002
382,32.35796193
383,30.49564569
384,25.45748078
385,18.00257248
386,18.74005917
387,16.53250268
388,15.64616806
389,13.09000743
390,12.75414798
391,12.56743773
392,26.23145305
393,29.73223739
394,30.17813769
395,29.13787102
396,26.56676514
397,24.05278494
398,14.13134265
399,14.42077135
400,27.1820659
401,41.4652234
402,54.87927372
403,60.32528116
404,55.22065469
405,33.9450002
406,32.35796193
407,30.49564569
408,25.45748078
409,18.00257248
410,18.74005917
411,16.53250268
412,15.64616806
413,13.09000743
414,12.75414798
415,12.56743773
416,26.23145305
417,29.73223739
418,30.17813769
419,29.13787102
420,26.56676514
421,24.05278494
422,14.13134265
423,14.42077135
424,27.1820659
425,41.4652234
426,54.87927372
427,60.32528116
428,55.22065469
429,33.9450002
430,32.35796193
431,30.49564569
432,25.45748078
433,18.00257248
434,18.74005917
435,16.53250268
436,15.64616806
437,13.09000743
438,12.75414798
439,12.56743773
440,26.23145305
441,29.73223739
442,30.17813769
443,29.13787102
444,26.56676514
445,24.05278494
446,14.13134265
447,14.42077135
448,27.1820659
449,41.4652234
450,54.87927372
451,60.32528116
452,55.22065469
453,33.9450002
454,32.35796193
455,30.49564569
456,25.45748078
457,18.00257248
458,18.74005917
459,16.53250268
460,15.64616806
461,13.09000743
462,12.75414798
463,12.56743773
464,26.23145305
465,29.73223739
466,30.17813769
467,29.13787102
468,26.56676514
469,24.05278494
470,14.13134265
471,14.42077135
472,27.1820659
473,41.4652234
474,54.87927372
475,60.32528116
476,55.22065469
477,33.9450002
478,32.35796193
479,30.49564569
480,25.45748078
481,18.00257248
482,18.74005917
483,16.53250268
484,15.64616806
485,13.09000743
486,12.75414798
487,12.56743773
488,26.23145305
489,29.73223739
490,30.17813769
491,29.13787102
492,26.56676514
