,WT1
332,83.51261969
333,142.6298836
334,175.4531702
335,158.0028153
336,135.9361209
337,112.0396038
338,78.37258013
339,54.15638587
340,52.12051113
341,62.88921699
342,59.67467793
343,55.71007975
344,94.67535259
345,180.7505994
346,250
347,249.0316942
348,244.0622792
349,226.6237846
350,205.0564509
351,174.1028452
352,153.8479689
353,147.0963435
354,139.5137488
355,66.74666386
356,86.8200961
357,138.3340413
358,183.2435072
359,192.176427
360,181.789311
361,156.9641037
362,131.0575932
363,105.0112164
364,84.17411497
365,83.01649823
366,85.82785318
367,82.7684375
368,116.6700707
369,145.5382761
370,228.6451721
371,213.8854995
372,160.8073367
373,113.1145336
374,78.55140507
375,65.56799954
376,62.29988483
377,63.5321248
378,59.13892141
379,27.21858915
380,46.38791647
381,81.77619457
382,101.6210531
383,77.94397492
384,53.08487285
385,29.09373694
386,10.5737151
387,6.759046742
388,8.612326915
389,12.1026019
390,15.16406767
391,11.26869516
392,17.72804526
393,49.12027467
394,122.7889021
395,132.5459575
396,107.3264499
397,76.7653106
398,57.37092493
399,43.86986087
400,40.81604877
401,46.76294603
402,54.85286933
403,30.08871332
404,54.31711282
405,77.30106711
406,75.37234367
407,63.5321248
408,52.01335983
409,41.88756179
410,32.42308097
411,19.1822415
412,9.121978962
413,5.554414629
414,2.573722351
415,0
416,0
417,19.8710713
418,107.1610761
419,185.1131881
420,195.6041753
421,166.1047658
422,128.8250466
423,103.6055389
424,87.39890448
425,79.46096108
426,77.67609667
427,43.70913392
428,67.65744993
429,85.1663579
430,86.40666155
431,73.12216633
432,53.94208327
433,36.55605976
434,26.79763761
435,17.8045819
436,11.05247914
437,10.40383108
438,12.4470168
439,17.460167
440,30.85407976
441,49.92390944
442,34.33649707
443,20.17721788
444,23.96578177
445,23.12387868
446,12.7914317
447,7.762906835
448,4.952098573
449,4.457890527
450,5.986846669
451,4.303450512
452,22.77946378
453,50.78111986
454,57.42450058
455,42.4233183
456,24.76941654
457,11.03703514
458,7.948234853
459,4.195342502
460,0
461,0
462,0
463,0
464,7.17603478
465,40.06598965
466,152.8092573
467,197.8893408
468,165.6892812
469,101.3729923
470,40.97677572
471,11.94952861
472,6.141286684
473,6.820822747
474,10.82081912
475,8.689546922
476,27.56300405
477,56.08510931
478,70.22908118
479,58.12098405
480,31.00715305
481,9.245530974
482,2.712718364
483,2.156734312
484,7.222366785
485,11.56684539
486,14.05428633
487,10.46560709
488,19.14397318
489,6.774490743
490,8.535106907
491,36.93874298
492,55.38862584
493,59.72825358
494,53.08487285
495,38.08679265
496,27.25685748
497,22.05236566
498,19.60319304
499,9.801515026
500,25.72612459
501,46.44149212
502,51.20972506
503,39.19657399
504,27.86915063
505,17.30709371
506,10.6509351
507,7.762906835
508,5.121982589
509,2.14129031
510,0
511,0
512,0
513,8.658658919
514,110.881987
515,212.7429167
516,221.0748779
517,201.3170891
518,152.4976438
519,115.2643933
520,89.71413797
521,77.40821841
522,66.80023951
523,32.00212942
524,54.79929368
525,91.11981544
526,118.241122
527,123.863832
528,132.132523
529,130.8095324
530,124.1945796
531,116.2566362
532,108.8148143
533,104.8458426
534,112.783786
535,123.4503974
536,174.3105875
537,247.1702136
538,250
539,250
540,245.7761533
541,223.7700612
542,176.3880107
543,136.6803031
544,116.8354446
545,108.4013797
546,98.47895047
547,59.51395097
548,110.9646739
549,192.5919117
550,222.8584551
551,225.7518136
