,DT
540,149.67
541,140.36
542,147.295
543,142.235
544,139.5
545,136.4721667
546,122.1686667
547,141.1183333
548,150.135
549,140.3225
550,136.0383333
551,116.4451667
552,106.3268333
553,78.82288333
554,84.6227
555,81.90936667
556,80.21258333
557,75.1328
558,77.93555
559,91.51936667
560,100.2281833
561,119.242
562,131.5458333
563,121.8393333
564,125.5227833
565,119.8106167
566,111.1401667
567,125.2325167
568,115.3199167
569,135.5731667
570,106.6321
571,91.47986667
572,98.528
573,94.82533333
574,91.79216667
575,87.15333333
576,73.9195
577,93.1045
578,84.17631667
579,76.41051667
580,81.23673333
581,76.53823333
582,79.08396667
583,80.01655
584,104.9302833
585,114.38345
586,125.6355
587,141.2653333
588,133.1373333
589,150.2528333
590,132.2127333
591,127.5065
592,139.0441667
593,138.9755
594,106.1241333
595,121.3726
596,133.9466667
597,131.1366667
598,133.0233333
599,115.1153333
600,94.87783333
601,80.24225
602,83.70478333
603,78.27233333
604,71.76158333
605,69.67
606,71.16175
607,83.49558333
608,94.77746667
609,111.99145
610,148.6618333
611,137.2506667
612,142.2368333
613,132.3938833
614,131.5331167
615,108.6052833
616,114.07625
617,129.5392667
618,111.5062667
619,114.38175
620,122.4033333
621,125.72
622,132.5458333
623,101.5705833
624,97.39483333
625,85.76583333
626,82.81483333
627,76.44883333
628,72.78066667
629,79.485
630,72.86066667
631,77.1395
632,85.68783333
633,102.9893833
634,114.4238333
635,107.4278333
636,98.9165
637,115.5346667
638,108.5146667
639,103.4041667
640,108.0926667
641,86.35266667
642,84.94083333
643,95.385
644,113.0666667
645,115.3816667
646,110.0133333
647,97.20683333
648,82.38066667
649,83.2
650,79.9503
651,77.38925
652,74.90523333
653,72.48848333
654,73.06915
655,81.97716667
656,86.35143333
657,124.7066667
658,126.0541667
659,138.9276667
660,122.3256667
661,96.262
662,99.17018333
663,99.87645
664,98.48336667
665,79.583
666,94.81633333
667,96.40766667
668,130.8583333
669,128.0833333
670,120.8666667
671,117.0916667
672,91.72583333
673,80.24225
674,83.70478333
675,78.27233333
676,71.76158333
677,69.67
678,71.16175
679,83.49558333
680,94.77746667
681,111.99145
682,148.6618333
683,137.2506667
684,142.2368333
685,132.3938833
686,131.5331167
687,108.6052833
688,114.07625
689,129.5392667
690,111.5062667
691,114.38175
692,122.4033333
693,125.72
694,132.5458333
695,101.5705833
696,97.39483333
697,85.65008333
698,79.73858333
699,79.10033333
700,79.162
701,73.07525
702,73.7478
703,82.83805
704,88.90106667
705,105.6643167
706,102.6182833
707,120.40705
708,107.8117
709,122.9572
710,99.02843333
711,101.7298667
712,102.5558
713,88.70775
714,92.14306667
715,114.9373667
716,127.4235
717,124.2616667
718,114.9429333
719,108.1264167
720,90.04411667
721,77.849
722,72.37933333
